,0,1
0,25205,Jump Shot
1,10194,Jump Shot
2,4580,Layup Shot
3,15269,Layup Shot
4,2859,Jump Shot
5,4035,Jump Shot
6,16548,Jump Shot
7,14354,Driving Layup Shot
8,28778,Jump Shot
9,1617,Jump Shot
10,28363,Driving Layup Shot
11,24798,Jump Shot
12,27889,Jump Shot
13,3384,Jump Shot
14,19810,Jump Shot
15,22007,Jump Shot
16,27806,Layup Shot
17,13903,Jump Shot
18,11100,Jump Shot
19,14992,Jump Shot
20,2930,Jump Shot
21,18998,Jump Shot
22,21100,Jump Shot
23,19216,Jump Shot
24,7669,Jump Shot
25,15566,Driving Layup Shot
26,14794,Layup Shot
27,26572,Jump Shot
28,2618,Jump Shot
29,12341,Jump Shot
30,7540,Jump Shot
31,15031,Jump Shot
32,734,Jump Shot
33,20826,Jump Shot
34,10526,Driving Layup Shot
35,11193,Jump Shot
36,22611,Jump Shot
37,25953,Jump Shot
38,25799,Jump Shot
39,16042,Jump Shot
40,3190,Jump Shot
41,6434,Jump Shot
42,17093,Jump Shot
43,24431,Layup Shot
44,12115,Jump Shot
45,5976,Jump Shot
46,11995,Jump Shot
47,2309,Jump Shot
48,30167,Jump Shot
49,23097,Layup Shot
50,1110,Jump Shot
51,29452,Jump Shot
52,12470,Jump Shot
53,13001,Jump Shot
54,28286,Layup Shot
55,3579,Jump Shot
56,23124,Jump Shot
57,4169,Jump Shot
58,22146,Jump Shot
59,2202,Jump Shot
60,3354,Layup Shot
61,24413,Driving Layup Shot
62,6831,Jump Shot
63,13521,Jump Shot
64,11989,Jump Shot
65,8294,Jump Shot
66,19923,Jump Shot
67,2209,Jump Shot
68,11179,Layup Shot
69,29025,Jump Shot
70,2405,Jump Shot
71,10354,Jump Shot
72,15237,Jump Shot
73,29413,Jump Shot
74,26975,Jump Shot
75,29034,Jump Shot
76,24535,Jump Shot
77,20012,Jump Shot
78,14659,Jump Shot
79,7179,Jump Shot
80,30077,Layup Shot
81,13925,Jump Shot
82,6677,Jump Shot
83,24956,Jump Shot
84,13968,Running Jump Shot
85,18141,Jump Shot
86,2899,Jump Shot
87,16246,Jump Shot
88,19651,Jump Shot
89,14153,Jump Shot
90,18934,Jump Shot
